Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
08-DEC-2023,46797.2,47303.65,46793.9,47262,218254038,9180.03
07-DEC-2023,46735.4,46927.7,46507.15,46841.4,208148115,6747.85
06-DEC-2023,47256.75,47259.85,46750.2,46834.55,244245159,10666.48
05-DEC-2023,46895.9,47230.55,46653.65,47012.25,326064098,15573.44
04-DEC-2023,45671.5,46484.45,45484.2,46431.4,311170393,14550.11
01-DEC-2023,44580.15,44951.1,44531.75,44814.2,204927587,8180.31
30-NOV-2023,44711.2,44764.8,44254.6,44481.75,343168253,21570.23
29-NOV-2023,44081.75,44630.35,44003.45,44566.45,152338716,7734.64
28-NOV-2023,43851.55,43960.3,43739.8,43880.95,151249387,7047.12
24-NOV-2023,43607.35,43806.5,43566.15,43769.1,96846530,4775.9
23-NOV-2023,43452.75,43649.65,43451.35,43577.5,72280382,3834.27
22-NOV-2023,43663.6,43692.5,43230.95,43449.6,150863505,7329.92
21-NOV-2023,43790.95,43790.95,43586.45,43689.15,108196578,5746.35
20-NOV-2023,43591.5,43724,43450.05,43584.95,124319579,5666.42
17-NOV-2023,43656.25,43872.85,43513.85,43583.95,227415842,9025.22
16-NOV-2023,44251.7,44420.95,44064.15,44161.55,144312535,7219.22
15-NOV-2023,44398.45,44408.55,44164.55,44201.7,202535584,9618.46
13-NOV-2023,43915.1,43970.75,43681.4,43891.25,169596833,6306.65
12-NOV-2023,44054.5,44056,43916.6,43996.65,26541813,876.91
10-NOV-2023,43543.25,43908.7,43504.95,43820.1,89974914,4066.49
09-NOV-2023,43626.1,43876.75,43542.65,43683.6,108890302,5404.57
08-NOV-2023,43791.8,43797.55,43547.75,43658.65,163438317,8174.1
07-NOV-2023,43598.85,43799.35,43283.85,43737.9,198173326,9289.17
06-NOV-2023,43627.75,43648.7,43415.2,43619.4,149913775,6574.44
03-NOV-2023,43318.3,43416.1,43221,43318.25,124077759,4910.1
02-NOV-2023,43018.7,43271.5,42796.45,43017.2,144713411,7556.85
01-NOV-2023,42694.25,42815.15,42589.65,42700.95,145213582,6822.53
31-OCT-2023,43356.85,43356.85,42797.15,42845.95,157391487,7678.31
30-OCT-2023,42721.4,43112.5,42390.5,43039.15,188984726,5999.82
27-OCT-2023,42555.6,42840.15,42482.75,42782,213867839,7515.61
26-OCT-2023,42708.4,42716.2,42105.4,42280.15,307071946,12780.76
25-OCT-2023,43308.3,43397.45,42758.4,42832,188273620,7402.28
23-OCT-2023,43822.7,43831.3,43029.45,43151.2,201404300,7591.04
