Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
09-FEB-2023,30769.8,31012.95,30665.45,30990.8,15936544,2763.97
08-FEB-2023,30415.6,30938.4,30415.6,30774.05,21878372,3655.07
07-FEB-2023,30429.75,30544.1,30250.75,30310.7,13675065,2069.17
06-FEB-2023,30502.9,30534.7,30186.7,30411.1,14207946,2281.72
03-FEB-2023,30839.05,30849.6,30417.9,30597.6,19988311,3224.28
02-FEB-2023,30124.9,30610.1,30107.1,30566.75,23854152,3849.87
01-FEB-2023,29885.95,30083.4,29659,30018.25,17621046,2857.09
31-JAN-2023,30163.2,30172.75,29556.3,29740.35,29500685,4469.89
30-JAN-2023,29842.7,30224.5,29606.35,30094.85,21244641,3498.55
27-JAN-2023,30052.7,30234.35,29542.45,29766.45,19821522,3343.39
25-JAN-2023,30208.1,30231.4,30004.75,30043.9,13976308,2256.13
24-JAN-2023,30220.5,30499.75,30151.55,30316.9,23082949,4235.49
23-JAN-2023,29620.25,30124.05,29505.5,30086,18270364,3603.16
20-JAN-2023,29574.45,29783.8,29479.7,29529.65,24009016,4270.2
19-JAN-2023,29487.5,29714.95,29396.05,29632.35,19683719,3352.66
18-JAN-2023,29580.25,29715.8,29541.95,29617.8,25496947,3338.98
17-JAN-2023,29291.15,29518.85,29259.1,29498,22519060,2829.38
16-JAN-2023,29037.05,29327.9,28895.4,29264.65,30075046,3453.69
13-JAN-2023,28717,29060.95,28292.3,28933.75,34569149,4881.69
12-JAN-2023,28722.45,28832.6,28509.5,28720.3,21496558,3023.85
11-JAN-2023,28550.65,28946,28460,28596.35,19386294,3056.13
10-JAN-2023,28627.8,28661.7,28242.9,28502.7,19626467,3177.46
09-JAN-2023,28134.05,28780,28134.05,28748.15,26261296,4017.1
06-JAN-2023,28466.9,28507.15,27908.75,27956.45,18896187,2807.96
05-JAN-2023,28803.05,28803.05,28386,28527.75,21294033,3008.3
04-JAN-2023,28912.6,28925.45,28600.75,28677.8,17295433,2499.97
03-JAN-2023,28713.7,29032.4,28636.4,28962.3,14214606,2153.96
02-JAN-2023,28681.55,28777.6,28474.7,28737.3,10844942,1664
30-DEC-2022,28887.8,29027,28564.75,28621.7,15530609,2311.16
29-DEC-2022,28408.3,28724.75,28386.65,28687.2,16236239,2492.4
28-DEC-2022,28495.75,28715.3,28346.25,28583.45,13439995,1864.17
27-DEC-2022,28551.75,28685,28333.8,28636.25,12801922,1759.3
26-DEC-2022,28268.25,28493.2,28209.95,28385.7,12383513,1684.7
23-DEC-2022,28442.8,28603.6,28179.55,28237.05,18983179,2561.23
22-DEC-2022,28973.35,29022.3,28629.85,28763.85,18230083,2562.02
21-DEC-2022,28742.3,28958.15,28658.7,28764.2,19513337,2809.29
20-DEC-2022,28464.85,28644.1,28109.15,28612.5,19277547,2657.1
19-DEC-2022,28567.7,28698.25,28374.45,28556.45,18965740,2770.21
16-DEC-2022,28805.95,29131.85,28623.65,28702.2,32728557,4559.86
15-DEC-2022,29609.6,29615.95,29039.25,29087.95,20501222,2952.1
14-DEC-2022,29546.95,29810.35,29503.1,29713.9,18373245,2928.79
13-DEC-2022,29103.5,29421.1,28993.8,29376.55,17108488,2670.84
12-DEC-2022,28940.95,29183.8,28661.1,29050.5,22633370,3263.06
09-DEC-2022,30196.25,30196.25,29038.6,29168.45,36302377,4779.35
08-DEC-2022,30175.85,30226.55,29983.4,30115,14408729,2226.63
07-DEC-2022,30319.25,30337.3,30091.2,30187.05,15150652,2442.36
06-DEC-2022,30656.2,30690.4,30323.95,30443,16956353,2581.73
05-DEC-2022,31052,31104.1,30750.55,30891.5,17137116,2502.77
02-DEC-2022,31097.55,31135.2,30869.7,31052.1,22892823,4087.12
01-DEC-2022,30749.45,31227.6,30723.25,31120.5,30824136,5617.12
30-NOV-2022,30274.5,30499.35,30133.95,30391.7,34389882,5283.42
29-NOV-2022,30242.4,30568.35,30228.1,30345.65,13314862,1942.53
28-NOV-2022,30207.75,30619.65,30152.85,30309.65,18368498,2618.58
25-NOV-2022,30233.9,30400.35,29981.15,30334.6,18599741,2563.41
24-NOV-2022,29507.55,30258,29464.75,30178.65,20835488,2870.57
23-NOV-2022,29574.65,29592.05,29365.25,29405.6,13143304,1926.74
22-NOV-2022,29195.7,29478,29020.35,29446.9,14963359,2199.34
21-NOV-2022,29520.15,29576.15,29153.9,29209.55,12975613,1903.54
18-NOV-2022,29739.2,29890.5,29398.95,29669.25,14957706,2124.33
17-NOV-2022,29810.45,29838.6,29610.1,29681.4,13954152,2158.52
16-NOV-2022,29920.65,30125.2,29812.9,29951.5,18105458,2678.77
15-NOV-2022,29789.85,29926.15,29531.65,29865.25,17021172,2539.63
14-NOV-2022,29709.75,29945.15,29610.55,29849.3,21681378,2900.49
11-NOV-2022,29182.35,29733.15,29163.75,29591.95,37806462,5103.54
10-NOV-2022,28287.85,28667.85,28284.65,28505.75,14478104,2078.71
09-NOV-2022,28940.4,28940.4,28505.3,28626.8,14025537,1886.09
07-NOV-2022,28815.95,28944.2,28480.65,28741.3,16285620,2185.62
04-NOV-2022,28756.75,28757.95,28425.6,28693.05,15744855,2112.76
03-NOV-2022,28866.35,28969.2,28643.5,28795.75,16618966,2066.82
02-NOV-2022,29299.4,29307,29023.5,29138.65,15593845,2117.07
01-NOV-2022,28924.25,29296.15,28874.65,29270.65,21456897,3037.09
31-OCT-2022,28588.7,28843.15,28573.25,28727.6,15964804,2353.71
28-OCT-2022,28567.65,28629.55,28267.2,28318.35,13846894,1944.22
27-OCT-2022,28787.1,28827.45,28403.3,28572.2,22326517,3131.29
25-OCT-2022,28687.9,28820.15,28544.65,28722.85,16473763,2516.46
24-OCT-2022,28632.85,28663.65,28504.55,28534.3,3825496,438.14
21-OCT-2022,28428.4,28476.15,28207.3,28336.9,14683696,2059.4
20-OCT-2022,27905.6,28462.25,27901.05,28432.2,19702261,2618.04
19-OCT-2022,28370.5,28376.7,28007.05,28060.35,15245711,2042.18
18-OCT-2022,28342.5,28402.95,28211.55,28315.2,24087645,2750.26
17-OCT-2022,27903.35,28128.85,27798.7,28019.1,19044839,2211.2
14-OCT-2022,28221.05,28371.3,27842.7,27954.05,44867903,5585.15
13-OCT-2022,27625.75,27705.25,27346.5,27506.2,61312108,4364.88
12-OCT-2022,27609.65,27752,27416.7,27694.65,20545878,2568.49
11-OCT-2022,28065.15,28313.3,27400.05,27469.5,36380028,4998.58
10-OCT-2022,27259.4,28097.6,27259.4,28027.6,23405197,2961.45
07-OCT-2022,27874.85,27972.75,27656.65,27733.6,14940111,2187.67
06-OCT-2022,27734.85,28009.3,27726.05,27928.75,22874779,3300.9
04-OCT-2022,27163.35,27530.8,27106.5,27496.95,22243077,3002.89
03-OCT-2022,26950.05,27011.5,26597.55,26729.1,16409785,2245.8
30-SEP-2022,26713.05,27091,26453,26981.15,26979720,3586.81
29-SEP-2022,27273.9,27300,26721.95,26819.05,24974339,3698.73
28-SEP-2022,26778.85,27243.2,26773.8,27067.65,22561551,3284.68
